,,Time of Gaussian Quadrature ,
110,9.50E-06,0.0050909,5.36E+02
120,9.70E-06,0.0067109,6.92E+02
130,7.70E-06,0.0065391,8.49E+02
140,1.01E-05,0.0072689,7.20E+02
150,9.70E-06,0.0092581,9.54E+02
160,1.28E-05,0.0098992,7.73E+02
170,1.41E-05,0.0150294,1.07E+03
180,1.62E-05,0.0173221,1.07E+03
190,1.76E-05,0.0190726,1.08E+03
200,2.08E-05,0.0207668,9.98E+02
210,2.23E-05,0.0323199,1.45E+03
220,2.12E-05,0.0203302,9.59E+02
230,2.69E-05,0.0219187,8.15E+02
240,2.88E-05,0.0214544,7.45E+02
250,2.64E-05,0.0222223,8.42E+02
260,2.78E-05,0.0239822,8.63E+02
270,3.04E-05,0.0243649,8.01E+02
280,3.22E-05,0.0253637,7.88E+02
290,3.44E-05,0.0281154,8.17E+02
300,3.64E-05,0.0319104,8.77E+02
310,3.83E-05,0.0290362,7.58E+02
320,4.07E-05,0.0304027,7.47E+02
330,4.27E-05,0.031781,7.44E+02
340,4.71E-05,0.0336202,7.14E+02
350,4.88E-05,0.0349661,7.17E+02
360,5.11E-05,0.0353084,6.91E+02
370,5.24E-05,0.0368761,7.04E+02
380,5.56E-05,0.0379125,6.82E+02
390,5.87E-05,0.0394582,6.72E+02
400,6.08E-05,0.0503834,8.29E+02
410,6.44E-05,0.0449739,6.98E+02
420,6.67E-05,0.0457959,6.87E+02
430,7.05E-05,0.048833,6.93E+02
440,7.46E-05,0.0514315,6.89E+02
450,7.64E-05,0.0543712,7.12E+02
460,7.98E-05,0.054771,6.86E+02
470,8.22E-05,0.0616559,7.50E+02
480,8.62E-05,0.0603825,7.00E+02
490,8.95E-05,0.0619263,6.92E+02
500,9.35E-05,0.0648584,6.94E+02
510,0.0001021,0.0657753,6.44E+02
520,0.0001012,0.0707593,6.99E+02
530,0.0001046,0.0733,7.01E+02
540,0.0001078,0.0737982,6.85E+02
550,0.0001124,0.0778553,6.93E+02
560,0.0001263,0.0797269,6.31E+02
570,0.0001195,0.0846963,7.09E+02
580,0.0001243,0.0879277,7.07E+02
590,0.0001283,0.0886168,6.91E+02
600,0.0001367,0.0914343,6.69E+02
610,0.0001358,0.095336,7.02E+02
620,0.000139,0.1000831,7.20E+02
630,0.0001522,0.101293,6.66E+02
640,0.0001492,0.1008502,6.76E+02
650,0.0001573,0.1073278,6.82E+02
660,0.00016,0.1148286,7.18E+02
670,0.000167,0.1105207,6.62E+02
680,0.0001696,0.1188973,7.01E+02
690,0.0001834,0.1227586,6.69E+02
700,0.0001826,0.1283178,7.03E+02
710,0.0001836,0.1284615,7.00E+02
720,0.0001902,0.1420257,7.47E+02
730,0.0001982,0.1400096,7.06E+02
740,0.0002003,0.1414132,7.06E+02
750,0.0002043,0.1503086,7.36E+02
760,0.0002168,0.1539566,7.10E+02
770,0.000225,0.153483,6.82E+02
780,0.0002204,0.16131,7.32E+02
790,0.0002303,0.1621277,7.04E+02
800,0.0002317,0.1649645,7.12E+02
810,0.0002371,0.1774642,7.48E+02
820,0.0002436,0.1787295,7.34E+02
830,0.0002599,0.1817891,6.99E+02
840,0.0002555,0.1910868,7.48E+02
850,0.0002706,0.1895232,7.00E+02
860,0.0002755,0.1976727,7.18E+02
870,0.0002729,0.1962832,7.19E+02
880,0.0002805,0.1974822,7.04E+02
890,0.0002853,0.2050192,7.19E+02
900,0.0002973,0.2120123,7.13E+02
910,0.0002979,0.2151286,7.22E+02
920,0.0003151,0.2247223,7.13E+02
930,0.0003166,0.2232277,7.05E+02
940,0.0003184,0.2353298,7.39E+02
950,0.0003244,0.2366794,7.30E+02
960,0.0003312,0.2404807,7.26E+02
970,0.0003465,0.2431413,7.02E+02
980,0.0003447,0.2475118,7.18E+02
990,0.000352,0.2594024,7.37E+02
1000,0.0003588,0.2605047,7.26E+02
,,,7.47E+02
